s,a,r,sp
290112,1,0,290113
290113,3,0,290113
290113,6,0,290113
290113,2,0,290112
290112,7,0,290112
290112,2,0,290111
290111,1,0,290211
290211,2,0,290210
290210,5,0,290210
290210,7,0,290210
290210,1,0,290211
290211,8,0,290211
290211,4,0,290311
290311,7,0,290311
290311,9,0,290311
290311,2,0,290310
290310,1,0,290311
290311,7,0,290311
290311,3,0,290211
290211,1,0,290111
290111,8,0,290111
290111,9,0,290111
290111,3,0,290111
290111,9,0,290111
290111,2,0,290110
290110,9,0,290110
290110,4,0,290210
290210,8,0,290210
290210,5,0,290210
290210,1,0,290211
290211,5,0,290211
290211,6,0,290211
290211,8,0,290211
290211,8,0,290211
290211,7,0,290211
290211,5,0,290211
290211,8,0,290211
290211,6,0,290211
290211,5,0,290211
290211,3,0,290111
290111,3,0,290111
290111,8,0,290111
290111,8,0,290111
290111,4,0,290211
290211,7,0,290211
290211,4,0,290311
290311,2,0,290310
290310,2,0,290304
290304,2,5,290303
290303,5,0,290303
290303,6,0,290303
290303,4,0,290203
290203,2,0,290202
290202,7,0,290202
290202,1,0,290203
290203,5,0,290203
290203,2,0,290202
290202,6,0,290202
290202,3,0,290201
290201,6,0,290201
290201,2,0,290201
290201,1,0,290202
290202,5,0,290202
290202,6,0,290202
290202,3,0,290302
290302,3,0,290202
290202,9,0,290202
290202,8,0,290202
290202,5,0,290202
290202,9,0,290202
290202,5,0,290202
290202,6,0,290202
290202,7,0,290202
290202,9,0,290202
290202,2,0,290102
290102,5,0,290102
290102,8,0,290102
290102,5,0,290102
290102,2,0,290101
290101,2,0,290101
290101,4,0,290201
290201,8,0,290201
290201,4,0,290101
290101,3,0,290101
290101,5,0,301301
301301,3,0,301201
301201,1,0,301202
301202,3,0,301201
301201,9,0,301201
301201,8,0,301201
301201,4,0,301301
301301,5,0,301301
301301,7,0,301301
301301,8,0,301301
301301,4,0,301401
301401,4,0,302001
302001,6,0,150404
150404,1,-5,150410
150410,4,0,151010
151010,6,0,151010
151010,2,0,151004
151004,3,0,150404
150404,1,-5,150410
150410,1,0,151010
151010,4,0,151110
151110,6,0,151110
151110,5,0,151110
151110,5,0,151110
151110,7,0,151110
151110,3,0,151010
151010,6,0,151010
151010,4,0,151110
151110,5,0,151110
151110,8,0,151110
151110,8,0,151110
151110,9,0,151110
151110,1,0,151111
151111,7,0,151111
151111,2,0,151211
151211,8,0,151211
151211,8,0,151211
151211,5,0,151211
151211,5,0,151211
151211,4,0,151311
151311,2,0,151310
151310,6,0,151310
151310,6,0,151310
151310,2,0,151304
151304,3,0,151303
151303,2,0,151302
151302,4,0,151303
151303,9,0,151303
151303,6,0,151303
151303,3,0,151304
151304,4,0,151404
151404,5,0,151404
151404,7,0,151404
151404,6,0,151404
151404,4,0,151304
151304,1,0,151310
151310,8,0,151310
151310,2,0,151304
151304,3,0,151204
151204,9,0,151204
151204,5,0,151204
151204,3,0,151304
151304,5,0,151304
151304,7,0,151304
151304,9,0,151304
151304,4,0,151404
151404,3,0,151304
151304,1,0,151310
151310,4,0,151410
151410,8,0,151410
151410,2,0,151404
151404,6,0,151404
151404,9,0,151404
151404,6,0,151404
151404,5,0,151404
151404,5,0,151404
151404,4,0,152004
152004,7,0,152004
152004,7,0,152004
152004,3,0,151404
151404,4,0,151403
151403,8,0,151403
151403,5,0,151403
151403,8,0,151403
151403,4,0,151303
151303,7,0,151303
151303,5,0,151303
151303,7,0,151303
151303,6,0,151303
151303,4,0,151403
151403,8,0,151403
151403,2,0,151402
151402,9,0,151402
151402,3,0,151302
151302,9,0,151302
151302,6,0,151302
151302,6,0,151302
151302,6,0,151302
151302,7,0,151302
151302,6,0,151302
151302,9,0,151302
151302,3,0,151202
151202,5,0,151202
151202,2,0,151201
151201,8,0,151201
151201,6,0,151201
151201,4,0,151202
151202,1,10,151203
151203,7,0,151203
151203,2,0,151202
151202,3,0,151102
151102,4,0,151202
151202,7,0,151202
151202,3,0,151102
151102,9,0,151102
151102,7,0,151102
151102,3,0,151002
151002,8,0,151002
151002,6,0,151002
151002,6,0,151002
151002,3,0,151003
151003,5,0,151003
151003,8,0,151003
151003,3,0,150403
150403,5,0,150403
150403,7,0,150403
150403,8,0,150403
150403,5,0,150403
150403,9,0,150403
150403,6,0,150403
150403,5,0,150403
150403,6,0,150403
150403,1,0,150404
150404,5,0,150404
150404,3,0,150304
150304,1,0,150310
150310,6,0,150310
150310,4,-5,150410
150410,6,0,150410
150410,4,0,150310
150310,9,0,150310
150310,3,0,150311
150311,1,0,150211
150211,2,0,150111
150111,8,0,150111
150111,9,0,150111
150111,8,0,150111
150111,7,0,150111
150111,8,0,150111
150111,6,0,150111
150111,3,0,150111
150111,4,0,150211
150211,9,0,150211
150211,6,0,150211
150211,9,0,150211
150211,2,0,150210
150210,6,0,150210
150210,5,0,150210
150210,2,0,150310
150310,4,-5,150410
150410,7,0,150410
150410,9,0,150410
150410,9,0,150410
150410,7,0,150410
150410,3,0,150310
150310,4,-5,150410
150410,5,0,150410
150410,8,0,150410
150410,7,0,150410
150410,9,0,150410
150410,3,0,150310
150310,7,0,150310
150310,6,0,150310
150310,5,0,150310
150310,5,0,150310
150310,9,0,150310
150310,3,0,150210
150210,4,0,150310
150310,9,0,150310
150310,5,0,150310
150310,5,0,150310
150310,4,-5,150410
150410,2,0,150404
150404,9,0,150404
150404,9,0,150404
150404,2,0,150403
150403,9,0,150403
150403,1,0,150404
150404,4,0,151004
151004,3,0,150404
150404,7,0,150404
150404,8,0,150404
150404,3,0,150304
150304,6,0,150304
150304,7,0,150304
150304,6,0,150304
150304,9,0,150304
150304,4,0,150404
150404,5,0,150404
150404,7,0,150404
150404,6,0,150404
150404,1,0,151004
151004,9,0,151004
151004,5,0,151004
151004,7,0,151004
151004,3,0,150404
150404,3,0,150304
150304,5,0,150304
150304,2,0,150204
150204,6,0,150204
150204,2,0,150203
150203,4,0,150303
150303,6,0,150303
150303,5,0,150303
150303,5,0,150303
150303,8,0,150303
150303,6,0,150303
150303,1,0,150302
150302,9,0,150302
150302,5,0,150302
150302,5,0,150302
150302,6,0,150302
150302,5,0,150302
150302,9,0,150302
150302,4,0,150402
150402,8,0,150402
150402,1,0,150403
150403,1,0,150404
150404,2,0,150403
150403,8,0,150403
150403,6,0,150403
150403,8,0,150403
150403,7,0,150403
150403,2,0,150402
150402,5,0,150402
150402,9,0,150402
150402,9,0,150402
150402,6,0,150402
150402,8,0,150402
150402,7,0,150402
150402,4,0,151002
151002,7,0,151002
151002,1,0,151003
151003,2,0,151002
151002,1,0,151003
151003,3,0,150403
150403,8,0,150403
150403,7,0,150403
150403,8,0,150403
150403,5,0,150403
150403,1,0,150404
150404,5,0,150404
150404,5,0,150404
150404,1,-5,150410
150410,1,0,151010
151010,9,0,151010
151010,6,0,151010
151010,9,0,151010
151010,8,0,151010
151010,2,0,151004
151004,2,0,151003
151003,4,0,151002
151002,6,0,151002
151002,1,0,151003
151003,5,0,151003
151003,1,0,151004
151004,2,0,151003
151003,8,0,151003
151003,1,0,151004
151004,8,0,151004
151004,2,0,151003
151003,1,0,151004
151004,3,0,151104
151104,9,0,151104
151104,9,0,151104
151104,2,0,151103
151103,8,0,151103
151103,8,0,151103
151103,9,0,151103
151103,6,0,151103
151103,4,10,151203
151203,4,0,151204
151204,8,0,151204
151204,4,0,151304
151304,4,0,151404
151404,3,0,151410
151410,7,0,151410
151410,9,0,151410
151410,3,0,151310
151310,9,0,151310
151310,7,0,151310
151310,4,0,151410
151410,2,0,151310
151310,9,0,151310
151310,4,0,151410
151410,3,0,151310
151310,6,0,151310
151310,6,0,151310
151310,3,0,151210
151210,8,0,151210
151210,8,0,151210
151210,8,0,151210
151210,8,0,151210
151210,9,0,151210
151210,1,0,151310
151310,8,0,151310
151310,6,0,151310
151310,1,0,151311
151311,6,0,151311
151311,2,0,151310
151310,6,0,151310
151310,6,0,151310
151310,5,0,151310
151310,2,0,151304
151304,4,0,151404
