s,a,r,sp
25203,1,-225,24703
24703,3,-25,24703
24703,1,-225,24202
24202,1,-225,24202
24202,2,-100,23701
23701,3,-25,23700
23700,1,-225,23699
23699,3,-25,23198
23198,4,0,23697
23697,3,-25,23196
23196,6,-100,23695
23695,1,-225,23694
23694,3,-25,23693
23693,3,-25,23692
23692,2,-100,23191
23191,5,-25,23690
23690,2,-100,23689
23689,4,0,23688
23688,4,0,23687
23687,3,-25,23687
23687,4,0,24186
24186,5,-25,24186
24186,4,0,24685
24685,2,-100,24685
24685,7,-225,25185
25185,1,-225,24685
24685,6,-100,25685
25685,2,-100,25186
25186,7,-225,25686
25686,2,-100,25687
25687,5,-25,26188
26188,6,-100,26689
26689,1,-225,26190
26190,5,-25,26691
26691,5,-25,27193
27193,5,-25,27194
27194,7,-225,27696
27696,1,-225,27698
27698,6,-100,27700
27700,7,-225,28203
28203,7,-225,28705
28705,2,-100,28208
28208,6,-100,28710
28710,3,-25,28213
28213,4,0,28215
28215,4,0,28217
28217,1,-225,27719
27719,6,-100,27721
27721,4,0,27723
27723,2,-100,27225
27225,7,-225,27226
27226,2,-100,26728
26728,2,-100,26229
26229,1,-225,25729
25729,6,-100,25730
25730,1,-225,25230
25230,2,-100,24730
24730,2,-100,24229
24229,2,-100,23228
23228,2,-100,22726
22726,5,-25,22725
22725,6,-100,22723
22723,5,-25,22722
22722,4,0,22720
22720,4,0,22719
22719,7,-225,22717
22717,3,-25,22215
22215,1,-225,22213
22213,5,-25,22211
22211,5,-25,22209
22209,5,-25,22207
22207,6,-100,22706
22706,3,-25,22204
22204,7,-225,22702
22702,3,-25,22700
22700,4,0,22699
22699,2,-100,22197
22197,6,-100,22695
22695,1,-225,22694
22694,2,-100,22192
22192,3,-25,22190
22190,6,-100,22689
22689,6,-100,23187
23187,7,-225,23687
23687,7,-225,24186
24186,2,-100,24186
24186,1,-225,24185
24185,6,-100,24685
24685,3,-25,24684
24684,6,-100,25185
25185,1,-225,25185
25185,2,-100,25185
25185,6,-100,25685
25685,4,0,25686
25686,5,-25,26186
26186,4,0,26187
26187,4,0,26188
26188,4,0,26690
26690,7,-225,27191
27191,6,-100,27693
27693,3,-25,27695
27695,7,-225,27697
27697,5,-25,28199
28199,4,0,28201
28201,5,-25,28204
28204,7,-225,28706
28706,7,-225,29209
29209,3,-25,28712
28712,4,0,28715
28715,4,0,28717
28717,5,-25,28720
28720,6,-100,28723
28723,3,-25,28725
28725,1,-225,27727
27727,7,-225,28229
28229,3,-25,27731
27731,3,-25,27233
27233,2,-100,26734
26734,3,-25,26235
26235,2,-100,25735
25735,6,-100,25736
25736,5,-25,25236
25236,7,-225,25236
25236,1,-225,24736
24736,2,-100,24235
24235,5,-25,23735
23735,6,-100,23734
23734,4,0,23733
23733,2,-100,23231
23231,6,-100,23230
23230,3,-25,22728
22728,3,-25,22226
22226,4,0,21724
21724,6,-100,22222
22222,7,-225,22220
