s,a,r,sp
61,1,0,61
61,1,0,61
61,2,0,51
51,1,0,51
51,4,0,41
41,3,0,42
42,1,0,41
41,1,0,41
41,3,0,51
51,1,0,51
51,2,0,52
52,1,0,51
51,2,0,52
52,2,0,53
53,3,0,63
63,2,0,64
64,1,0,63
63,1,0,62
62,1,0,63
63,4,0,53
53,4,0,52
52,1,0,51
51,2,0,41
41,3,0,51
51,1,0,51
51,3,0,61
61,1,0,61
61,4,0,51
51,3,0,61
61,3,0,71
71,3,0,81
81,1,0,81
81,2,0,82
82,3,3,81
81,2,0,82
82,3,3,81
81,1,0,81
81,3,0,91
91,2,0,81
81,2,0,91
91,2,0,81
81,3,0,82
82,3,3,92
92,1,0,91
91,4,0,81
81,4,0,71
71,4,0,72
72,3,0,82
82,2,3,83
83,4,0,73
73,1,0,72
72,2,0,82
82,4,3,72
72,2,0,62
62,2,0,61
61,4,0,51
51,4,0,52
52,4,0,42
42,4,0,32
32,3,0,31
31,3,0,41
41,3,0,42
42,2,0,41
41,4,0,31
31,3,0,41
41,2,0,51
51,1,0,51
51,2,0,61
61,2,0,71
71,4,0,61
61,4,0,71
71,2,0,72
72,1,0,71
71,4,0,61
61,2,0,62
62,3,0,72
72,2,0,71
71,4,0,81
81,3,0,71
71,4,0,61
61,2,0,62
62,1,0,61
61,1,0,61
61,2,0,71
71,2,0,61
61,2,0,62
62,1,0,61
61,3,0,71
71,4,0,61
61,3,0,71
71,3,0,61
61,1,0,61
61,4,0,71
71,2,0,72
72,4,0,62
62,1,0,61
61,4,0,71
71,3,0,81
81,2,0,71
71,4,0,61
27,1,0,37
37,4,0,27
27,3,0,37
37,1,0,47
47,1,10,48
48,2,0,49
49,4,0,39
39,3,0,49
49,3,0,59
59,4,0,60
60,1,0,59
59,3,0,69
69,3,0,79
79,3,0,69
69,3,0,68
68,3,0,78
78,2,0,79
79,1,0,69
69,4,0,59
59,2,0,60
60,1,0,59
59,3,0,69
69,2,0,68
68,1,0,67
67,1,0,68
68,4,0,58
58,3,0,68
68,3,0,69
69,4,0,59
59,4,0,49
49,4,0,48
48,1,0,49
49,1,0,59
59,3,0,58
58,2,0,59
59,3,0,69
69,2,0,59
59,1,0,49
49,2,0,39
39,3,0,49
49,2,0,50
50,3,0,40
40,1,0,50
50,1,0,49
49,2,0,50
50,3,0,60
60,4,0,70
70,4,0,60
60,4,0,70
70,1,0,69
69,2,0,70
70,4,0,60
60,1,0,59
59,1,0,60
60,4,0,50
50,3,0,60
60,4,0,70
70,1,0,60
60,1,0,59
59,2,0,69
69,4,0,59
59,2,0,60
60,1,0,59
59,2,0,60
60,3,0,50
50,1,0,60
60,4,0,59
59,3,0,69
69,4,0,59
59,1,0,58
58,4,0,48
48,4,0,38
38,2,0,39
39,1,0,38
38,3,0,39
39,3,0,49
49,4,0,59
59,3,0,69
69,4,0,59
59,3,0,69
69,4,0,79
79,3,0,69
69,4,0,59
59,2,0,60
60,3,0,50
50,3,0,60
60,1,0,59
59,1,0,58
58,1,0,48
48,3,0,38
38,2,0,37
37,3,0,47
47,3,10,57
57,1,0,58
58,1,0,57
57,3,0,67
67,1,0,66
66,1,0,65
65,1,0,55
55,4,0,65
81,3,0,71
71,1,0,71
71,2,0,61
61,4,0,51
51,1,0,51
51,3,0,61
61,2,0,71
71,3,0,81
81,4,0,71
71,4,0,81
81,1,0,81
81,4,0,71
71,4,0,81
81,4,0,71
71,4,0,61
61,2,0,71
71,3,0,81
81,2,0,91
91,2,0,81
81,1,0,81
81,3,0,82
82,3,3,92
92,4,0,93
93,4,0,92
92,1,0,82
82,4,3,72
72,3,0,82
82,3,3,92
92,1,0,91
91,1,0,91
91,1,0,91
91,4,0,81
81,4,0,71
71,4,0,61
61,2,0,62
62,4,0,63
63,4,0,64
64,4,0,54
54,3,0,64
64,1,0,63
63,4,0,53
53,3,0,63
63,2,0,64
